Name                                      CurrentValue    Limit
----------------------------------------  --------------  -------
Availability Sets                         0               2500
Total Regional vCPUs                      6               100
Virtual Machines                          2               25000
Virtual Machine Scale Sets                0               2500
Dedicated vCPUs                           0               3000
Cloud Services                            0               2500
Total Regional Low-priority vCPUs         0               100
Standard DSv3 Family vCPUs                2               100
Standard DSv5 Family vCPUs                4               100
Basic A Family vCPUs                      0               100
Standard A0-A7 Family vCPUs               0               100
Standard A8-A11 Family vCPUs              0               100
Standard D Family vCPUs                   0               100
Standard Dv2 Family vCPUs                 0               100
Standard DS Family vCPUs                  0               100
Standard DSv2 Family vCPUs                0               100
Standard G Family vCPUs                   0               100
Standard GS Family vCPUs                  0               100
Standard F Family vCPUs                   0               100
Standard FS Family vCPUs                  0               100
Standard NV Family vCPUs                  0               24
Standard NC Family vCPUs                  0               48
Standard H Family vCPUs                   0               8
Standard Av2 Family vCPUs                 0               100
Standard LS Family vCPUs                  0               100
Standard Dv2 Promo Family vCPUs           0               100
Standard DSv2 Promo Family vCPUs          0               100
Standard MS Family vCPUs                  0               0
Standard Dv3 Family vCPUs                 0               100
Standard Ev3 Family vCPUs                 0               100
Standard ESv3 Family vCPUs                0               100
Standard Dv4 Family vCPUs                 0               100
Standard DDv4 Family vCPUs                0               100
Standard DSv4 Family vCPUs                0               100
Standard DDSv4 Family vCPUs               0               100
Standard Ev4 Family vCPUs                 0               100
Standard EDv4 Family vCPUs                0               100
Standard ESv4 Family vCPUs                0               100
Standard EDSv4 Family vCPUs               0               100
Standard BS Family vCPUs                  0               100
Standard FSv2 Family vCPUs                0               100
Standard NDS Family vCPUs                 0               0
Standard NCSv2 Family vCPUs               0               0
Standard NCSv3 Family vCPUs               0               0
Standard LSv2 Family vCPUs                0               100
Standard PBS Family vCPUs                 0               6
Standard EIv3 Family vCPUs                0               100
Standard EISv3 Family vCPUs               0               100
Standard DCS Family vCPUs                 0               8
Standard NVSv2 Family vCPUs               0               0
Standard MSv2 Family vCPUs                0               0
Standard HBS Family vCPUs                 0               0
Standard HCS Family vCPUs                 0               0
Standard NVSv3 Family vCPUs               0               0
Standard NV Promo Family vCPUs            0               24
Standard NC Promo Family vCPUs            0               48
Standard H Promo Family vCPUs             0               8
Standard DAv4 Family vCPUs                0               100
Standard DASv4 Family vCPUs               0               50
Standard EAv4 Family vCPUs                0               100
Standard EASv4 Family vCPUs               0               50
Standard NDSv3 Family vCPUs               0               0
Standard DCSv2 Family vCPUs               0               8
Standard NVSv4 Family vCPUs               0               0
Standard NDSv2 Family vCPUs               0               0
Standard NPS Family vCPUs                 0               100
Standard HBrsv2 Family vCPUs              0               0
Standard NCASv3_T4 Family vCPUs           0               0
Standard NDASv4_A100 Family vCPUs         0               0
Standard EIDSv4 Family vCPUs              0               100
Standard XEISv4 Family vCPUs              0               100
Standard EIASv4 Family vCPUs              0               100
Standard HBv3 Family vCPUs                0               0
Standard MDSMediumMemoryv2 Family vCPUs   0               0
Standard MIDSMediumMemoryv2 Family vCPUs  0               0
Standard MSMediumMemoryv2 Family vCPUs    0               0
Standard MISMediumMemoryv2 Family vCPUs   0               0
Standard DASv5 Family vCPUs               0               100
Standard EASv5 Family vCPUs               0               100
Standard Ev5 Family vCPUs                 0               100
Standard EIv5 Family vCPUs                0               100
Standard EDv5 Family vCPUs                0               100
Standard EIDv5 Family vCPUs               0               100
Standard ESv5 Family vCPUs                0               100
Standard EISv5 Family vCPUs               0               100
Standard EDSv5 Family vCPUs               0               100
Standard EIDSv5 Family vCPUs              0               100
Standard Dv5 Family vCPUs                 0               100
Standard DDv5 Family vCPUs                0               100
Standard DDSv5 Family vCPUs               0               100
Standard DLSv5 Family vCPUs               0               100
Standard DLDSv5 Family vCPUs              0               100
Standard LSv3 Family vCPUs                0               100
Standard LASv3 Family vCPUs               0               100
Standard DCSv3 Family vCPUs               0               100
Standard DDCSv3 Family vCPUs              0               100
Standard DADSv5 Family vCPUs              0               100
Standard EADSv5 Family vCPUs              0               100
Standard FXMDVS Family vCPUs              0               0
Standard DPLDSv5 Family vCPUs             0               100
Standard DPLSv5 Family vCPUs              0               100
Standard DPDSv5 Family vCPUs              0               100
Standard DPSv5 Family vCPUs               0               100
Standard EPDSv5 Family vCPUs              0               100
Standard EPSv5 Family vCPUs               0               100
Standard NDAMSv4_A100Family vCPUs         0               0
Standard DCASv5 Family vCPUs              0               100
Standard ECASv5 Family vCPUs              0               100
Standard ECIASv5 Family vCPUs             0               0
Standard DCADSv5 Family vCPUs             0               100
Standard ECADSv5 Family vCPUs             0               100
Standard ECIADSv5 Family vCPUs            0               0
Standard NVADSA10v5 Family vCPUs          0               0
Standard NCADS_A100_v4 Family vCPUs       0               0
Standard EBDSv5 Family vCPUs              0               100
Standard EBSv5 Family vCPUs               0               100
Standard EIASv5 Family vCPUs              0               100
Standard EIADSv5 Family vCPUs             0               0
Standard NCADSA10v4 Family vCPUs          0               0
standard DCACCV5 Family vCPUs             0               100
standard DCADCCV5 Family vCPUs            0               100
standard ECACCV5 Family vCPUs             0               100
standard ECADCCV5 Family vCPUs            0               100
Standard EIBDSv5 Family vCPUs             0               100
